"source_system;client_id;snapshot_ts;invoice_internal_id;customer_id;document_number;invoice_date;due_date;posting_period;document_type;document_status; currency_id;exchange_rate;subsidiary_id;payment_terms;amount_total;amount_tax;amount_net;amount_paid;open_balance;last_modified_ts"
"netsuite;vonderk;2026-07-20 14:19;360229;4100;MEX-9900022504;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;183077.70;;183077.7;.00;183077.70; "
"netsuite;vonderk;2026-07-20 14:19;360230;4100;MEX-9900022505;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;511738.50;;511738.5;.00;511738.50; "
"netsuite;vonderk;2026-07-20 14:19;360232;3854;MEX-9900022506;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;1665430.00;;1665430;.00;1665430.00; "
"netsuite;vonderk;2026-07-20 14:19;360233;3764;MEX-9900022507;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;1806707.50;;1806707.5;.00;1806707.50; "
"netsuite;vonderk;2026-07-20 14:19;360234;13856;MEX-9900022508;16/07/2026;23/07/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;11;PLAZO 7 DIAS;.00;;0;.00;.00; "
"netsuite;vonderk;2026-07-20 14:19;360237;3811;MEX-9900022509;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;1566760.00;;1566760;.00;1566760.00; "
"netsuite;vonderk;2026-07-20 14:19;360238;3924;MEX-9900022510;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;1182604.80;;1182604.8;.00;1182604.80; "
"netsuite;vonderk;2026-07-20 14:19;360242;3847;MEX-9900022511;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;451370.40;;451370.4;.00;451370.40; "
"netsuite;vonderk;2026-07-20 14:19;360244;3769;FC A-00007-00048870;16/07/2026;14/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;706214.08;122566.08;583648;.00;706214.08; "
"netsuite;vonderk;2026-07-20 14:19;360245;3857;FC A-00007-00048871;16/07/2026;15/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;51707.57;9324.32;42383.25;.00;51707.57; "
"netsuite;vonderk;2026-07-20 14:19;360247;3813;FC A-00007-00048872;16/07/2026;15/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;250720.47;43513.47;207207;.00;250720.47; "
"netsuite;vonderk;2026-07-20 14:19;360248;3671;FC A-00007-00048873;16/07/2026;15/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;593365.50;122440.50;470925;.00;593365.50; "
"netsuite;vonderk;2026-07-20 14:19;360249;3767;FC A-00007-00048874;16/07/2026;14/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;1200535.10;187224.10;1013311;.00;1200535.10; "
"netsuite;vonderk;2026-07-20 14:19;360251;13609;FC A-00007-00048875;16/07/2026;14/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;4477460.72;923920.47;3553540.25;.00;4477460.72; "
