"source_system;client_id;snapshot_ts;item_internal_id;item_name;location;subsidiary;stock_status;quantity_on_hand;quantity_available;average_cost"
"netsuite;vonderk;2026-07-20 14:19;8387;CS-TED;Showroom Mentrau;MENTRAU;Buen estado Otros;1;1;43818.96"
"netsuite;vonderk;2026-07-20 14:19;12296;CS-TED LR;Almacén General Mentrau;MENTRAU;Dañado;1;1;"
"netsuite;vonderk;2026-07-20 14:19;12127;CS-TED MINI;Almacén General Mentrau;MENTRAU;Good;13;13;42431.78339286"
"netsuite;vonderk;2026-07-20 14:19;12127;CS-TED MINI;Almacen Mentrau Exento;MENTRAU;Good;15;15;42431.78339286"
"netsuite;vonderk;2026-07-20 14:19;12127;CS-TED MINI;Almacen Mentrau Exento;MENTRAU;Buen estado PT;20;20;42431.78339286"
"netsuite;vonderk;2026-07-20 14:19;12127;CS-TED MINI;Almacen Mentrau Exento;MENTRAU;Buen estado PT;7;7;42431.78339286"
"netsuite;vonderk;2026-07-20 14:19;12127;CS-TED MINI;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;42431.78339286"
"netsuite;vonderk;2026-07-20 14:19;12129;CS-XPRESS ROND BASE DESK-BL;Almacen Mentrau Exento;MENTRAU;Good;1;1;8909.36283019"
"netsuite;vonderk;2026-07-20 14:19;12129;CS-XPRESS ROND BASE DESK-BL;Almacén General Mentrau;MENTRAU;Good;48;48;8909.36283019"
"netsuite;vonderk;2026-07-20 14:19;12129;CS-XPRESS ROND BASE DESK-BL;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;8909.36283019"
"netsuite;vonderk;2026-07-20 14:19;12129;CS-XPRESS ROND BASE DESK-BL;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;8909.36283019"
"netsuite;vonderk;2026-07-20 14:19;12129;CS-XPRESS ROND BASE DESK-BL;Almacen Mentrau Exento;MENTRAU;Buen estado PT;2;2;8909.36283019"
"netsuite;vonderk;2026-07-20 14:19;12128;CS-XPRESS ROND-BL;Almacén General Mentrau;MENTRAU;Good;18;18;52608.58310345"
"netsuite;vonderk;2026-07-20 14:19;12128;CS-XPRESS ROND-BL;Almacen Mentrau Exento;MENTRAU;Good;1;1;52608.58310345"
"netsuite;vonderk;2026-07-20 14:19;12128;CS-XPRESS ROND-BL;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;52608.58310345"
"netsuite;vonderk;2026-07-20 14:19;12128;CS-XPRESS ROND-BL;Almacen Mentrau Exento;MENTRAU;Buen estado PT;2;2;52608.58310345"
"netsuite;vonderk;2026-07-20 14:19;12128;CS-XPRESS ROND-BL;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;52608.58310345"
"netsuite;vonderk;2026-07-20 14:19;12128;CS-XPRESS ROND-BL;Almacen Mentrau Exento;MENTRAU;Buen estado PT;6;6;52608.58310345"
"netsuite;vonderk;2026-07-20 14:19;8391;CS-XPRESS-W;Showroom Mentrau;MENTRAU;Buen estado Otros;4;4;124916.93"
"netsuite;vonderk;2026-07-20 14:19;8392;CS-XPRESS-W LR;Almacén General Mentrau;MENTRAU;Good;41;41;148173.32571429"
"netsuite;vonderk;2026-07-20 14:19;8392;CS-XPRESS-W LR;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;148173.32571429"
"netsuite;vonderk;2026-07-20 14:19;11839;CS-150W-24V;Almacen Mentrau Exento;MENTRAU;Good;19;19;55507.56853659"
"netsuite;vonderk;2026-07-20 14:19;11839;CS-150W-24V;Almacén General Mentrau;MENTRAU;Good;19;19;55507.56853659"
"netsuite;vonderk;2026-07-20 14:19;11839;CS-150W-24V;Almacen Mentrau Exento;MENTRAU;Buen estado PT;2;2;55507.56853659"
"netsuite;vonderk;2026-07-20 14:19;11839;CS-150W-24V;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;55507.56853659"
"netsuite;vonderk;2026-07-20 14:19;12133;CS-150W-24V-1CH;Almacen Mentrau Exento;MENTRAU;Good;10;10;69923.99571429"
"netsuite;vonderk;2026-07-20 14:19;12133;CS-150W-24V-1CH;Almacén General Mentrau;MENTRAU;Good;1;1;69923.99571429"
"netsuite;vonderk;2026-07-20 14:19;12133;CS-150W-24V-1CH;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;69923.99571429"
"netsuite;vonderk;2026-07-20 14:19;12133;CS-150W-24V-1CH;Almacen Mentrau Exento;MENTRAU;Buen estado PT;2;2;69923.99571429"
"netsuite;vonderk;2026-07-20 14:19;8398;HYL-150-24-TRIAC;Almacén General Mentrau;MENTRAU;Good;1;1;26622.64"
"netsuite;vonderk;2026-07-20 14:19;8398;HYL-150-24-TRIAC;Showroom Mentrau;MENTRAU;Buen estado Otros;1;1;26622.64"
"netsuite;vonderk;2026-07-20 14:19;8399;HYL-75-24-TRIAC;Almacén General Golau;GOLAU;Buen estado PT;4;4;17866.15"
"netsuite;vonderk;2026-07-20 14:19;8399;HYL-75-24-TRIAC;Showroom Mentrau;MENTRAU;Buen estado Otros;1;1;17866.15"
"netsuite;vonderk;2026-07-20 14:19;8400;HYL-80-24-SLIM;Almacen Mentrau Exento;MENTRAU;Good;4;4;10534.58"
"netsuite;vonderk;2026-07-20 14:19;8400;HYL-80-24-SLIM;Almacen Mentrau Exento;MENTRAU;Good;5;5;10534.58"
"netsuite;vonderk;2026-07-20 14:19;8400;HYL-80-24-SLIM;Almacén General Mentrau;MENTRAU;Good;148;148;10534.58"
"netsuite;vonderk;2026-07-20 14:19;8400;HYL-80-24-SLIM;Almacén General Mentrau;MENTRAU;Good;67;67;10534.58"
"netsuite;vonderk;2026-07-20 14:19;8400;HYL-80-24-SLIM;Almacen Mentrau Exento;MENTRAU;Buen estado PT;3;3;10534.58"
"netsuite;vonderk;2026-07-20 14:19;8400;HYL-80-24-SLIM;Almacen Mentrau Exento;MENTRAU;Buen estado PT;69;69;10534.58"
"netsuite;vonderk;2026-07-20 14:19;12073;INS-ALLEN M5x15-BOTON;Producción Mentrau;MENTRAU;Buen estado PT;35;35;50.06828571"
"netsuite;vonderk;2026-07-20 14:19;12072;INS-ALLEN M5x5-GUSANO;Producción Mentrau;MENTRAU;En producción;170;170;81.71"
"netsuite;vonderk;2026-07-20 14:19;12074;INS-ALLEN M5x8-GUSANO;Producción Mentrau;MENTRAU;En producción;970;970;38.61"
"netsuite;vonderk;2026-07-20 14:19;12466;INS-ARANDELA Ø10;Producción Mentrau;MENTRAU;Buen estado PT;57;57;6.33"
"netsuite;vonderk;2026-07-20 14:19;7801;INS-ARAN-PLA-532;Producción Mentrau;MENTRAU;En producción;600;600;24.36"
"netsuite;vonderk;2026-07-20 14:19;8285;INS-CABLE-MULTIF-0.35MM-BLANCO;Producción Mentrau;MENTRAU;En producción;580;580;146.14"
"netsuite;vonderk;2026-07-20 14:19;8286;INS-CABLE-MULTIF-0.35MM-NEGRO;Producción Mentrau;MENTRAU;En producción;345;345;353.18"
"netsuite;vonderk;2026-07-20 14:19;8287;INS-CABLE-MULTIF-0.35MM-ROJO;Producción Mentrau;MENTRAU;En producción;155;155;353.18"
"netsuite;vonderk;2026-07-20 14:19;8294;INS-CABLE-MULTIF-0.75MM-VERDE;Producción Mentrau;MENTRAU;Buen estado PT;92.2;92.2;225.13264642"
"netsuite;vonderk;2026-07-20 14:19;8295;INS-CABLE-RGB-4X025;Producción Mentrau;MENTRAU;En producción;400;400;2000.00"
"netsuite;vonderk;2026-07-20 14:19;8296;INS-CABLE-RGB-4X050;Producción Mentrau;MENTRAU;En producción;100;100;2350.49"
"netsuite;vonderk;2026-07-20 14:19;11439;INS-CABLE-TALLER-2X0.35MM-NG;Mentrau EX;MENTRAU EXENTO;Good;16.5;16.5;1497.60426157"
"netsuite;vonderk;2026-07-20 14:19;11439;INS-CABLE-TALLER-2X0.35MM-NG;Almacen Mentrau Exento;MENTRAU;En producción;29.85;29.85;1497.60426157"
"netsuite;vonderk;2026-07-20 14:19;11439;INS-CABLE-TALLER-2X0.35MM-NG;Almacen Mentrau Exento;MENTRAU;Buen estado PT;21.7;21.7;1497.60426157"
"netsuite;vonderk;2026-07-20 14:19;12083;INS-CABLE-TEXTIL-BL;Producción Mentrau;MENTRAU;Buen estado PT;20;20;1057.851"
"netsuite;vonderk;2026-07-20 14:19;8306;INS-CABLE-TEXTIL-NG;Producción Mentrau;MENTRAU;En producción;137.8;137.8;1193.50998173"
"netsuite;vonderk;2026-07-20 14:19;8306;INS-CABLE-TEXTIL-NG;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1.4;1.4;1193.50998173"
"netsuite;vonderk;2026-07-20 14:19;8306;INS-CABLE-TEXTIL-NG;Almacén General Mentrau;MENTRAU;Buen estado PT;298.6;298.6;1193.50998173"
"netsuite;vonderk;2026-07-20 14:19;12457;INS-CAJA 150x150x200H SIMPLE;Almacén General Mentrau;MENTRAU;Buen estado PT;76;76;252.93552632"
"netsuite;vonderk;2026-07-20 14:19;12456;INS-CAJA 400x400x300H SIMPLE;Producción Mentrau;MENTRAU;Buen estado PT;52;52;664.47538462"
"netsuite;vonderk;2026-07-20 14:19;7815;INS-CAJA-85X65X10 GROW;Almacén General Golau;GOLAU;En producción;745;745;180.00"
"netsuite;vonderk;2026-07-20 14:19;7817;INS-CHAPA-LINEA D-BL;Producción Mentrau;MENTRAU;En producción;2350;2350;100.00"
